regressionType,independentVariable,dependentVariable,leadTime,alpha,weight,rmse_out_mean,rmse_out_std,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
linear,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3,sic,0,0.008,0,46.970278905324186,91.1441969448794,81.34175369750763,82.60697887467508,79.2877823857158,71.02422910325828,58.83983177871257,34.0487352179588,17.34460501516238,15.361912074545076,11.175106628466606,20.40175262682834,30.985740661535267,61.22491879952438
linear,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3,sic,1,0.008,0,66.89855906176648,129.89213057998947,117.81989115185996,118.7599819835021,115.32667286020325,97.3178364424812,85.98328151546687,51.39480850025962,30.68381353745372,22.173417717666208,13.785444373517825,19.64756486236976,45.576206683482795,84.31378911293442
linear,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3,sic,2,0.008,0,79.1880316952304,151.94235068810224,135.00495863305747,145.30545974335263,131.6546374150997,118.17085520569589,103.08649704535391,66.11993607761272,39.60909658013717,27.216359185797923,16.127992913505302,22.020165595063116,50.783993352030926,95.15642859605802
linear,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3,sic,3,0.008,0,88.02928957080879,166.94530532460982,146.9149268816367,164.40167421026902,150.42039718245448,132.8086015933742,111.21230647927369,77.51087125679032,45.56237649686084,31.71423425894746,18.62016542732684,23.365559858144014,52.96846425396441,100.85189695066343
linear,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3,sic,4,0.008,0,96.23101194754692,177.39199345968953,158.68151484287304,184.27934447329895,165.5242857516028,145.61659732333882,125.66454076688747,80.55454308023025,50.57697664028254,35.317846832995976,21.552452306876035,23.740003114641276,57.531905080796875,105.73213315673918
linear,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3,sic,5,0.008,0,103.09542566279565,184.92067665912268,166.96091787767082,200.11915880173933,174.2838143548218,161.10062616402467,135.18844531181483,84.95586020868637,54.51820241429174,38.71848451199955,24.911721115327314,25.623518463630763,62.40187611168649,108.36248261785404
linear,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3 + temp_dt_tm1 + temp_dt_tm2 + temp_dt_tm3 + ohc_dt_tm1 + ohc_dt_tm2 + ohc_dt_tm3,sic,0,0.008,0,45.580774505511556,89.0581971219317,77.4533054244275,80.96619948735902,76.30584768105511,68.3675999874587,56.65026265536891,33.81622260235437,17.502435751091763,15.142337100203727,10.800417476025915,19.794024405554204,30.28760551763888,59.88303597760054
linear,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3 + temp_dt_tm1 + temp_dt_tm2 + temp_dt_tm3 + ohc_dt_tm1 + ohc_dt_tm2 + ohc_dt_tm3,sic,1,0.008,0,64.59303100914482,126.5812643549807,112.77300369578907,114.6116964776847,110.22096250270828,92.99332199898954,83.5328320275159,51.20906318995745,30.051988891002075,21.73210120530785,13.432451037675968,19.29641558629724,43.99998687780085,81.26254861900891
linear,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3 + temp_dt_tm1 + temp_dt_tm2 + temp_dt_tm3 + ohc_dt_tm1 + ohc_dt_tm2 + ohc_dt_tm3,sic,2,0.008,0,77.30890536398216,149.55136031312804,131.61932052839813,143.0069111500539,126.64510973236284,114.50532928090004,101.17355413280295,65.60594328846804,38.36007024069049,26.347226962636675,15.802369545659728,21.651991015240572,50.47116241917408,92.51787607139843
linear,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3 + temp_dt_tm1 + temp_dt_tm2 + temp_dt_tm3 + ohc_dt_tm1 + ohc_dt_tm2 + ohc_dt_tm3,sic,3,0.008,0,85.90265869337543,164.15593224180196,143.95904074915973,161.2518728405429,146.00497682297222,128.67858581836919,108.80428987894422,76.24691048596402,43.86548413798851,30.706239105322158,18.255398145951926,22.874530015383964,51.777657336368925,98.40691898353745
